logFC	logCPM	F	PValue	FDR
TSS3_129184	-6.13375400305712	6.667540054769	254.728825456708	7.13406487355466e-28	2.04447684998819e-23
TSS1_26230006	5.21364845126048	5.79137476730436	254.617180690458	1.35024723441416e-27	2.04447684998819e-23
TSS5_26894835	-3.98995696725615	6.41015080732827	210.861565522083	4.16667355964421e-25	4.20597918022352e-21
TSS4_7684128	4.91628107379106	5.02626730605619	206.220282034704	8.33043148286562e-25	6.30676141489049e-21
TSS3_22371353	5.294063114946	5.271986125021	201.463548055157	1.71405834840393e-24	1.03813657929432e-20
TSS1_28126928	3.49182353383256	7.17326010525624	194.56646184033	3.91757724427938e-24	1.97726652814187e-20
TSS1_11672355	4.22111678377645	7.867231996479	192.62957466192	5.32488078586173e-24	2.3036194976893e-20
TSS5_21603620	-4.13651667717391	4.82006980629299	183.187744795557	2.45233419178423e-23	9.28300454122525e-20
TSS1_937230	10.8498370129376	3.84157857428664	183.744458782649	7.17905895103664e-23	2.41559380238047e-19
TSS5_26949658	-3.99649632338514	7.0033249402673	175.164026963868	9.36922736184475e-23	2.83728312198745e-19
TSS5_22460650	-3.9383547678625	10.0152753809851	157.353822187216	2.13897490427896e-21	5.88859791147998e-18
TSS5_4620226	-3.3562863140734	5.6102625262484	158.460772727133	2.59280687080056e-21	6.54316420570444e-18
TSS3_3366464	3.1338849525167	12.2110690221824	154.182930360016	3.82318915358812e-21	8.90597208754685e-18
TSS5_190928	3.33828366601409	7.25431029436947	153.440028795013	4.38528304741089e-21	9.48568046605313e-18
TSS1_1584073	2.98106447788595	7.62755608813895	151.510066756005	6.27512853705172e-21	1.2522835886316e-17
TSS4_13200595	-3.29019968127554	6.05239981914637	152.231844007817	6.61643080873945e-21	1.2522835886316e-17
TSS3_7286281	3.42862611988237	6.26566323732556	145.471295265457	1.96262718046672e-20	3.49613170035727e-17
TSS1_20160812	-2.96417361384358	9.20535534782601	143.405576886175	2.91877103130316e-20	4.9105079522752e-17
TSS3_17284921	3.09867000609714	6.3574244546533	142.063706724694	3.78438945156213e-20	6.03171925061348e-17
TSS2_13105759	5.17759597500489	4.07117274084753	142.578862737225	4.07739146365545e-20	6.1737822846939e-17
TSS5_2041913	-3.69143431935873	4.46765578594876	139.86566249788	9.76371404916594e-20	1.40797405976615e-16
TSS1_10478005	-2.91089213952177	7.93396687248213	134.721726677719	1.61106702355786e-19	2.17116823397147e-16
TSS2_19570055	-3.41186875734994	8.22799517086647	134.605698878952	1.64900668300181e-19	2.17116823397147e-16
TSS2_17114804	3.57137564907302	5.59455246972573	130.53998702029	3.75693376783737e-19	4.74046772047579e-16
TSS3_2676721	3.34758573345567	6.07422787414258	130.145643207208	4.07262855329406e-19	4.93325641917616e-16
TSS4_8554035	-4.15053814435878	4.63803645331316	129.105715174695	5.04184189432476e-19	5.87238838791679e-16
TSS5_25323109	3.31374673099276	5.46428740164176	128.549890938927	5.65362612266275e-19	6.13028973162656e-16
TSS2_9977779	5.30328914523536	3.86460967857373	128.537468923423	5.66813434882752e-19	6.13028973162656e-16
TSS3_18525615	-3.97076415552754	3.94037826843755	129.640265893961	7.27803089118138e-19	7.60002101647054e-16
TSS5_14089918	4.37535462121924	4.28385761938351	126.672253385824	8.34263241536992e-19	8.42133124782158e-16
TSS5_2037855	-2.93080786220374	6.03734979204121	126.928182477458	1.07675588077913e-18	1.05185155927853e-15
TSS5_2195882	3.34879043754161	5.26555012553621	122.896118044166	1.84368710487935e-18	1.74476176865817e-15
TSS2_9056199	2.95196027833504	6.29153117096253	121.99865993022	2.23074122808115e-18	2.04707686696914e-15
TSS4_13130297	-2.92971028509934	6.03513042080875	121.755153652958	2.71887861841643e-18	2.42164121180896e-15
TSS1_22444514	-2.69493015800867	8.0413591977217	120.837874350892	2.85775512763686e-18	2.47261138657791e-15
TSS4_10657182	4.17114394695063	4.39725375010356	120.668333538651	3.96433151078621e-18	3.33477364280941e-15
TSS5_6182376	-4.06373339010806	3.87496902006711	119.105524123932	5.52310804040574e-18	4.52044002128667e-15
TSS5_2895422	2.75548894728411	7.41911237756078	116.5754581797	7.18260023225938e-18	5.72396533772397e-15
TSS2_17858701	2.9222959317597	5.81296300968647	115.901628510191	8.32387616335745e-18	6.46338312448599e-15
TSS5_1034543	-2.99081965149241	10.4278194794752	115.521669280116	9.04758959226057e-18	6.84970389056067e-15
TSS1_3302729	2.58410652136661	7.06992721332833	113.02514007981	1.57087970583148e-17	1.1602670763828e-14
TSS3_5579421	-2.72739998375976	5.78164154700622	112.460462045225	1.78137536309269e-17	1.28441405048895e-14
TSS1_16577609	-3.34584290958317	7.1227357967132	112.248971032462	1.86745283343608e-17	1.31516451523127e-14
TSS3_23182707	-3.0645775992342	6.93568146564532	112.349397135758	2.08565210353397e-17	1.43545006025725e-14
TSS2_9844350	-2.72685852131559	5.25588561578691	112.019172667953	2.24423356994495e-17	1.51026944885873e-14
TSS1_25423719	2.79689757924989	6.45176585385908	110.626949693426	2.68632824183614e-17	1.76847995972878e-14
