logFC	logCPM	F	PValue	FDR
TSS3_22371353	6.25097529907552	5.271986125021	278.365172767705	5.09585548443769e-29	1.54317791635226e-24
TSS3_129184	-6.85551078521009	6.667540054769	264.327352304071	2.081242949721e-28	3.15131401232005e-24
TSS1_26230006	5.29638512475921	5.79137476730436	261.84411043143	5.40592366508455e-28	5.45691954499184e-24
TSS5_21603620	-5.18779229030191	4.82006980629299	243.749498005872	3.04813907743183e-27	2.17928135208006e-23
TSS1_28126928	3.96780932241334	7.17326010525624	242.51788211285	3.59819263626467e-27	2.17928135208006e-23
TSS2_19570055	-4.9410730511905	8.22799517086647	228.68710483411	2.42202639824263e-26	1.22243709029969e-22
TSS4_7684128	5.16930694063709	5.02626730605619	227.352415187911	3.86816394642712e-26	1.67342298270932e-22
TSS5_26894835	-4.1008607807304	6.41015080732827	219.483647638302	1.18337191648554e-25	4.47950646836646e-22
TSS3_3366464	3.65725776775368	12.2110690221824	200.346716167641	1.58713572677997e-24	5.34035902378644e-21
TSS5_190928	3.74072500460509	7.25431029436947	187.007187102605	1.31377997159648e-23	3.97851988798563e-20
TSS5_26949658	-4.09035418791072	7.0033249402673	179.584494505395	4.45480586574667e-23	1.22640805484006e-19
TSS2_17114804	4.1556930486079	5.59455246972573	172.53698970395	1.46613502264001e-22	3.69991390755063e-19
TSS5_22460650	-4.3195446197722	10.0152753809851	171.778204711853	1.66997742215327e-22	3.79185782794604e-19
TSS2_13105759	5.65682472449334	4.07117274084753	172.742519306731	1.75299704755951e-22	3.79185782794604e-19
TSS5_4620226	-3.52864271189311	5.6102625262484	170.961665857812	2.94203620926771e-22	5.93957883501694e-19
TSS1_1584073	3.13476759882549	7.62755608813895	165.703208142738	4.80202750315238e-22	9.08873742987271e-19
TSS5_2895422	3.34110866810318	7.41911237756078	164.698174251843	5.73291064007611e-22	1.02123372302015e-18
TSS1_937230	10.599873610777	3.84157857428664	169.477473124195	7.27268273284666e-22	1.22354806221553e-18
TSS3_2676721	3.77032345687591	6.07422787414258	162.111657570245	9.07474172283005e-22	1.44637054522349e-18
TSS4_13130297	-3.49053896785803	6.03513042080875	162.476324295619	1.03933972664687e-21	1.57371624710236e-18
TSS3_17284921	3.26313331482583	6.3574244546533	156.003245038485	2.73672380329254e-21	3.94648604452895e-18
TSS4_10657182	4.74340692773814	4.39725375010356	155.976332010584	4.04928080268679e-21	5.57383502489837e-18
TSS5_23306421	3.43902253572953	11.3986645428653	152.18129595041	5.53802240098449e-21	7.29164923343536e-18
TSS3_16788875	3.46423782624781	6.78806839141375	151.550885750481	6.22756266713133e-21	7.85788667703076e-18
TSS1_10478005	-3.09360333105626	7.93396687248213	149.543956319289	9.06700586813935e-21	1.09830455481946e-17
TSS1_25423719	3.2668114143338	6.45176585385908	147.855876077103	1.24671292795307e-20	1.45208490758472e-17
TSS1_20160812	-3.01415598233206	9.20535534782601	147.436543050259	1.34982123313495e-20	1.51394949640836e-17
TSS2_9056199	3.24943349896427	6.29153117096253	145.795557596971	1.84467937656955e-20	1.9585618204575e-17
TSS5_14089918	4.69162911281413	4.28385761938351	145.708589698147	1.87558342282031e-20	1.9585618204575e-17
TSS3_7286281	3.42265084774812	6.26566323732556	144.900542290215	2.18931008421449e-20	2.18269303982334e-17
TSS1_11672355	3.56408014375774	7.867231996479	144.794310675043	2.23437189956489e-20	2.18269303982334e-17
TSS2_9977779	5.56885552123855	3.86460967857373	142.973711086313	3.17270826468753e-20	3.00247263686039e-17
TSS3_5579421	-3.14634307960898	5.78164154700622	141.876113000573	3.92479874537353e-20	3.60165698200444e-17
TSS1_22444514	-2.94189101654857	8.0413591977217	140.770887148934	4.8673893051261e-20	4.33526912726864e-17
TSS1_3302729	2.90508103161326	7.06992721332833	139.858342936903	5.81863341197691e-20	5.03444787471134e-17
TSS1_16577609	-4.03312320122932	7.1227357967132	139.448499344278	6.30580911464264e-20	5.30441159496453e-17
TSS1_5517725	5.22228498360631	3.80691611425492	141.9789770696	7.81010760128563e-20	6.39225644566846e-17
TSS5_25323109	3.44095292349856	5.46428740164176	137.915938664172	8.52869476107681e-20	6.79669640657076e-17
TSS4_13200595	-3.08961623471844	6.05239981914637	136.475789915516	1.34006681228272e-19	1.04054469939378e-16
TSS2_11717307	-3.01140762751968	6.89456701602767	134.029387819641	1.8514485992579e-19	1.40168544828318e-16
TSS1_7610398	3.08672035892344	7.00791128833774	133.381351261496	2.10968138778862e-19	1.55823125527812e-16
TSS4_14304973	-3.08114507638302	5.4048915956542	132.401304332573	2.57212580509938e-19	1.85456394656725e-16
TSS2_17858701	3.13918404799104	5.81296300968647	132.18559119855	2.68713532153607e-19	1.89243067307155e-16
TSS5_16378881	2.80110835117872	9.44272273574303	130.760065755769	3.59174157365246e-19	2.47201613806631e-16
TSS5_2037855	-3.00341743337209	6.03734979204121	131.918152435509	3.91535972389656e-19	2.61713991915801e-16
TSS1_5304318	2.88821311160693	8.69485004348656	130.263607219325	3.97544616719838e-19	2.61713991915801e-16
TSS5_2041913	-3.57020020618524	4.46765578594876	132.107470665679	4.44375543936344e-19	2.86319672277113e-16
TSS1_6489231	2.86948097881592	8.06681066780676	127.596238838378	6.88596475796483e-19	4.34432647428019e-16
TSS3_8078820	3.4260775600227	5.09257487474175	128.012998461179	7.373392909923e-19	4.49610787662046e-16
TSS3_729454	-2.81673667525061	7.88352600155462	127.233843951454	7.42348491995585e-19	4.49610787662046e-16
TSS5_3335097	2.86211558517084	7.81546076605667	125.428039863639	1.08167509113685e-18	6.42281701664654e-16
TSS3_7528187	-4.12134825346692	8.50128095389688	124.975095669901	1.18938607090683e-18	6.92657276639835e-16
TSS5_1034543	-3.14218976447083	10.4278194794752	124.18465305714	1.40436268015544e-18	8.0242103854995e-16
TSS5_23901362	3.0799324665789	5.60468911479917	123.992019341981	1.46253107657943e-18	8.20182010963979e-16
TSS5_21700241	2.65550830950486	10.2257572847729	123.159335062931	1.74373753616865e-18	9.60101887414458e-16
TSS5_6182376	-4.24089970957475	3.87496902006711	123.440833033186	2.21494310810991e-18	1.19777003826594e-15
TSS4_9353315	3.20278669813208	5.21989842893462	121.905468594022	2.2754303711967e-18	1.20889224440262e-15
TSS5_1568694	-4.7345734117465	5.5847739260263	121.482866147113	2.88028655781947e-18	1.50385720397322e-15
TSS2_14872322	2.91694309550627	6.16412188197678	119.452682854246	3.84759320194325e-18	1.9748587277025e-15
TSS5_2195882	3.29559564229914	5.26555012553621	118.943106132597	4.29461474054207e-18	2.13879760902027e-15
TSS1_5504535	3.16447117213532	6.48120866357475	118.928431460601	4.30824733844852e-18	2.13879760902027e-15
TSS2_2055552	-4.30793374286438	13.1759118737138	118.629639132797	4.59565502605117e-18	2.23472451715758e-15
TSS5_22944962	2.67229511747991	8.99688850830248	118.533760463767	4.69197778208453e-18	2.23472451715758e-15
TSS3_23182707	-3.17391178011577	6.93568146564532	119.162635371533	4.72285999069065e-18	2.23472451715758e-15
TSS2_7731143	2.63924499969086	8.1680807773155	117.950154846751	5.32452925503321e-18	2.48065722200263e-15
TSS4_8369240	2.84548537986182	6.11382375221821	117.270488780853	6.17227464752186e-18	2.83204535077128e-15
TSS1_20504920	-3.75611953062075	3.92565766285315	117.386768839459	6.92211115019582e-18	3.12869092479672e-15
TSS4_10078320	7.36240866110421	3.50041949284151	116.281679172009	7.65909798655502e-18	3.4020646771159e-15
TSS1_11454924	2.55625906550155	8.82888840024133	116.22680451521	7.75162509398003e-18	3.4020646771159e-15
TSS1_4291014	2.79680673145263	6.9090033277177	115.744424372722	8.6158421311771e-18	3.71127020619612e-15
TSS3_18525615	-3.72633534715613	3.94037826843755	117.646922273336	8.71387969745181e-18	3.71127020619612e-15
TSS5_22239187	-4.61951769873092	11.7880714755209	115.6357344543	8.82381054869467e-18	3.71127020619612e-15
TSS1_10618896	2.8642218735015	7.50766767663728	115.271514147045	9.55890291840051e-18	3.96537338462908e-15
TSS2_16128427	-2.5585483064374	7.55695702808653	115.178723103279	9.75599783162479e-18	3.99244435587964e-15
TSS3_5518331	2.85773577995882	5.68819478601284	114.918172505623	1.03319434209223e-17	4.17176323487722e-15
TSS1_6443014	3.60038061752967	4.26467489938264	116.221647575854	1.36517124099153e-17	5.43966851196664e-15
TSS4_8554035	-3.80388790482627	4.63803645331316	112.907580075756	1.61250068569171e-17	6.34173483958467e-15
TSS1_3137468	-3.04401811804833	7.42820864111456	112.526157904924	1.75547128600651e-17	6.81550473770962e-15
TSS3_11383958	-2.89935729121868	5.56948345751203	111.984815004994	1.98097028528865e-17	7.59363584169573e-15
TSS2_13020152	-2.47210802024548	8.70823245784206	111.302411103578	2.30803816186256e-17	8.7367899569605e-15
TSS2_18973307	2.61165493964475	7.38236502993311	110.364108211623	2.85016563297665e-17	1.06557488720286e-14
TSS5_4823745	-2.88423571630905	6.04160115178986	110.269581925045	2.91155515290543e-17	1.07525152067604e-14
TSS3_5592620	-2.69596704050077	8.02267428380551	110.562657206543	3.10514657811621e-17	1.13292956415775e-14
TSS1_20772179	4.17795563545328	4.33790844007648	109.573986041886	3.87614885492848e-17	1.3817697517807e-14
TSS5_26501911	2.51164269598889	7.90041345428307	109.002085952942	3.87842779451704e-17	1.3817697517807e-14
TSS5_26349970	2.69470058635056	6.51347748446145	108.233501318482	4.6191628229755e-17	1.62653613683915e-14
TSS3_16386444	-2.40114032561462	8.81863842005757	108.115024565682	4.74559928759092e-17	1.65185038190938e-14
TSS5_19949191	2.56077577777959	8.21592408329397	107.522781585752	5.43279820611436e-17	1.8695616826791e-14
TSS3_22129612	2.97339586448438	5.1993253728033	107.130739000422	5.94293801650217e-17	2.02213474105321e-14
TSS1_18269399	-2.64955719917573	6.50239536613249	106.591986525768	6.72503010219118e-17	2.26282318427395e-14
TSS2_15028194	2.78164144840604	6.71344068997412	105.727242979881	8.20712116474035e-17	2.73116758496519e-14
TSS2_2141627	-2.69924857079434	8.50577363881874	105.416447074659	8.81807424255989e-17	2.90258415529827e-14
