logFC	logCPM	F	PValue	FDR
TSS4_13613596	-8.0077211746558	6.93319649984328	495.297765619065	1.02841709471025e-37	3.11435548791106e-33
TSS1_659771	-5.62551440153419	8.13506423041101	396.669805185665	1.38819131178673e-34	2.10192987474187e-30
TSS1_7949517	-7.34405331783652	4.8747139369102	350.330186639175	1.22580876258758e-32	1.23737222524799e-28
TSS1_985756	-6.36569370212641	6.16734607963634	335.635744233136	8.29554534873317e-32	5.45485030171182e-28
TSS2_14031073	-5.23565452648207	8.88409283801245	331.156994539759	9.00645626541595e-32	5.45485030171182e-28
TSS4_12900458	-5.2559221850439	12.1616746889819	320.757039832935	2.76123601023816e-31	1.23264350275637e-27
TSS5_22239187	-4.8587334187721	11.7880714755209	320.469383625601	2.84928987197259e-31	1.23264350275637e-27
TSS4_13611796	-5.28569263136045	8.75248819549375	307.950628332513	2.37821465825299e-30	9.00243431198441e-27
TSS3_10243758	-4.74918835741294	12.257257845029	287.381834720727	1.23224113239432e-29	4.14621757914412e-26
TSS2_538253	-4.68099902649669	9.94746846160308	278.48275805096	3.59231513421053e-29	1.08786079209298e-25
TSS4_14087571	-4.61528482490432	9.60608632602766	271.783241670885	8.17930895008839e-29	2.25176375395933e-25
TSS1_27522121	-4.92822598271403	9.32367388848309	267.909899210666	1.83332825460097e-28	4.62655662784009e-25
TSS1_17693861	-4.37771434764663	8.08812753694765	263.131136330174	2.4221281315756e-28	5.64225432373107e-25
TSS3_7521955	-4.98034060585908	6.17026680810488	260.11284740637	3.55971576970132e-28	7.69991947527608e-25
TSS2_17209697	-5.35610136457827	7.68061207141931	258.137509106103	4.58817923040807e-28	9.26292210896317e-25
TSS2_2055552	-4.58402796617366	13.1759118737138	257.354241395549	5.07600130038819e-28	9.60728421122847e-25
TSS1_17456165	-4.16834096846256	9.63149226820707	255.608873136868	6.36301421846979e-28	1.13347740928189e-24
TSS2_12588200	-4.69317747089923	6.73485107749054	251.262972811639	1.12257902322163e-27	1.84593833836587e-24
TSS1_20459035	-4.56679937373872	11.8290614205944	251.025648380962	1.15816888779023e-27	1.84593833836587e-24
TSS4_6075656	-7.39258183792493	5.44385051705473	255.285310809618	1.23967450555865e-27	1.87705315259164e-24
TSS3_16984791	-4.35388417894033	8.86138251040282	249.297419304657	1.45468393364106e-27	2.09772350297391e-24
TSS1_28472357	-4.26214770029672	9.97562395526101	240.90253809084	6.01361480753077e-27	8.2777407825661e-24
TSS5_22565370	-4.31848164646965	9.25753611263357	236.426333629884	8.2497858207176e-27	1.08620984351648e-23
TSS1_16577609	4.29104175803765	7.1227357967132	234.011903023029	1.15120575437406e-26	1.45258182748791e-23
TSS5_4776986	-4.96622258803721	5.36203142355917	233.463294454304	1.24218330828793e-26	1.50468148499533e-23
TSS3_8085558	4.74037935088856	7.15013783886596	224.998052211917	4.08489556442996e-26	4.70192074492729e-23
TSS2_17529751	-3.8477647032455	11.0753656323508	224.816201835137	4.1921824163074e-26	4.70192074492729e-23
TSS3_7528187	-3.92101102976361	8.50128095389688	224.256470261823	4.54084845139715e-26	4.911089773345e-23
TSS5_8697103	-4.56685949045921	6.25199540916571	223.633641578971	4.96384800701302e-26	5.18345548953018e-23
TSS3_20895604	-3.81475735668847	10.5464013026695	222.796273716578	5.59688556434474e-26	5.64968285150173e-23
TSS5_4572468	-4.30076033462175	7.30970448698813	219.708654114292	8.73738414449947e-26	8.53529690477024e-23
TSS3_7527652	-3.72581860775676	12.5274712895726	216.838098302412	1.32730536203339e-25	1.25608713370179e-22
TSS3_8013917	-5.62816818274878	5.76705806003048	218.229133562969	2.45138837242943e-25	2.24955739643274e-22
TSS3_7972893	-4.43380385968538	8.04663081506939	212.822597658492	3.11941148496018e-25	2.77838641173674e-22
TSS5_21919118	-3.93823392910166	7.72053629604826	209.586823447834	3.88532034982307e-25	3.36169017581977e-22
TSS1_5153084	-3.86994485119414	7.66919106058187	209.313215847337	4.048085154936e-25	3.40522674297019e-22
TSS4_10390869	3.95034832841104	6.0047041099388	196.456850797945	2.90941663549285e-24	2.38123956682784e-21
TSS1_24558285	-3.51054735554888	10.0800753034775	194.931703033391	3.69815578200301e-24	2.9471381985894e-21
TSS5_21880618	-4.34381668878388	7.13904520967599	196.019452476131	3.97271382490753e-24	3.08476135281217e-21
TSS5_18697572	3.61415397324285	9.25640519253111	193.147349630246	4.90441936539536e-24	3.7130132910567e-21
TSS1_989208	-6.23490478835487	5.75928522278448	193.375785600062	6.01049615039795e-24	4.43941109567076e-21
TSS2_12181020	-3.59027172849648	9.57320491244301	191.208341857533	6.67889043304187e-24	4.81563902342397e-21
TSS4_16135402	4.88782523711996	4.46533792839208	188.761017463583	9.8928236108183e-24	6.96707854433513e-21
TSS4_12886755	3.88344650940347	8.340060015889	188.331912812162	1.06020856891391e-23	7.09022125852858e-21
TSS3_5588459	3.63175400978177	7.712360737823	188.317796033811	1.06262832847249e-23	7.09022125852858e-21
TSS5_13853745	-3.65482144860428	11.7470210759605	188.234580713829	1.07700748899486e-23	7.09022125852858e-21
TSS2_11717307	4.07267490955526	6.89456701602767	187.379872778299	1.23673467354934e-23	7.96851832321161e-21
TSS4_8807566	-4.34823049468173	4.55547969521253	186.161416129783	1.50736361632742e-23	9.50989424859233e-21
TSS5_22405952	-3.83838647742752	9.80769619277143	185.753337159463	1.610967494196e-23	9.95610788300767e-21
TSS1_11740328	4.68192236272493	5.3402270976083	184.579374315533	3.09200133528762e-23	1.8727015287303e-20
TSS2_14224610	-3.37443129862347	10.1065406889897	180.063082875506	4.11333340895881e-23	2.43745086577539e-20
TSS2_6392218	-3.23423115691014	10.8775709005363	179.958732709367	4.18543225639204e-23	2.43745086577539e-20
TSS4_13475298	-5.31086686807599	5.53641450769045	182.582323521548	4.27159761428974e-23	2.44069416138747e-20
TSS5_22379926	-4.13226923640165	8.1628264655196	180.975030572326	4.42355228634632e-23	2.48071173865603e-20
TSS5_23306421	-3.43153531908894	11.3986645428653	177.936167335599	5.86940207397216e-23	3.23169278192907e-20
TSS3_22745696	3.85395628986329	10.123314138138	177.668702919965	6.13900048856124e-23	3.31977413919821e-20
TSS1_20456973	-4.21104436015778	7.19902217672152	175.486930435577	8.87023204075429e-23	4.71258310333618e-20
TSS3_4136535	-3.48028059742041	9.98844590234049	173.198189304144	1.30931149182123e-22	6.8249302633482e-20
TSS3_1498990	-3.47874050088529	9.33175166819546	173.107809795323	1.32969284924725e-22	6.8249302633482e-20
TSS5_13830679	4.16931389352497	8.92659433504246	172.121936869968	1.57426849288473e-22	7.94559546167139e-20
TSS4_1961136	-3.32759791516326	7.00829199302825	169.955549558991	2.28662973439399e-22	1.13267276199915e-19
TSS5_15256275	-3.31430870343258	8.5949429576395	169.874370496986	2.31898131770126e-22	1.13267276199915e-19
TSS1_18121441	-3.50734796720707	6.31351779338428	167.558994909041	3.46846421233365e-22	1.66723018638254e-19
TSS2_827781	-3.12718720619377	8.31587352107616	166.478382998262	4.19065700190863e-22	1.98290103107498e-19
TSS5_16174783	-3.92192430534793	7.44644612319234	164.146593703746	6.3203005186855e-22	2.94457939395928e-19
TSS3_18940739	-3.44345681963527	8.64161954253751	159.185752336082	1.53453955450017e-21	7.04097898923164e-19
TSS2_9303242	-3.09499022193961	11.3452334737936	158.777592769202	1.65203499271923e-21	7.46695159470395e-19
TSS4_6073595	-3.5668454577834	6.5556199599181	159.628468464898	2.10598678872363e-21	9.37876440042907e-19
TSS2_13141450	3.72635033088545	6.32697640718717	157.245348488072	2.18162299898419e-21	9.57479554757074e-19
TSS3_19442380	4.61451677072377	5.53378386133804	157.914742513268	2.34704501133092e-21	1.0153652011162e-18
TSS2_11759471	-3.35318478263866	7.04136736960313	156.128032277462	2.67496061153536e-21	1.14092721407219e-18
TSS2_17206512	-3.31059654467039	8.35538875129181	155.424778469056	3.04265856000711e-21	1.27973373850966e-18
TSS2_7760832	3.59621586289399	6.45393289360396	153.883763427517	4.04011093900076e-21	1.67598191185973e-18
TSS1_662266	-3.32525193186856	8.15310321304629	153.788881371422	4.11150581246502e-21	1.68255041241727e-18
TSS5_17758277	-3.40650396107655	11.9484707277299	153.643020172636	4.22378567716347e-21	1.68503282818981e-18
TSS3_20864487	3.69715190206173	6.91959440737411	153.636525224295	4.22885760797891e-21	1.68503282818981e-18
