logFC	logCPM	F	PValue	FDR
TSS2_6034437	4.19741515537063	7.2581591263356	215.169830454482	1.69548335974535e-25	5.13443225831685e-21
TSS1_24647188	5.64658102884145	6.00378972102256	187.170303756858	1.61354213471746e-23	2.44314482328245e-19
TSS1_25880329	10.8029091845218	7.55833267793827	183.244542763703	3.83649424901445e-23	3.87268517809682e-19
TSS4_4824622	3.22418033329397	8.48968918598344	172.548977742413	1.81162313714084e-22	1.3715345865509e-18
TSS1_659771	3.0432033019384	8.13506423041101	163.140631741965	7.55506045348281e-22	4.5757979142564e-18
TSS1_30241610	3.99321402536548	6.19359202817293	158.2349946908	1.82262177792598e-21	9.19907588348877e-18
TSS5_26246375	3.05242635321915	7.8824045095288	148.080890013453	1.19474148138967e-20	5.16862232584621e-17
TSS2_13609899	3.658805265231	6.52953391370255	142.698734958238	3.34606188930283e-20	1.26660990242197e-16
TSS1_8102814	4.67074336429636	4.66098590381857	140.19577177965	5.44651247771385e-20	1.83263041514009e-16
TSS1_9847932	3.64185790562265	5.78134337338445	138.342565117144	7.83946301140269e-20	2.37402458374308e-16
TSS3_5670814	2.81975521448387	10.3591606139265	133.887610010127	1.90503697746944e-19	5.24456679897337e-16
TSS1_8976457	3.25810698644354	6.87293840363093	129.477438411864	4.6708628396944e-19	1.17873116145388e-15
TSS1_5390035	3.32889033832092	7.35173419953823	127.691102747254	6.75194618805483e-19	1.57283989548357e-15
TSS3_1081002	2.79149671303861	8.8356359273786	126.433611786384	8.76770543599753e-19	1.89651731227367e-15
TSS3_18207769	4.14842765514974	5.16646729967809	125.722514625471	1.01704837486006e-18	2.05328506239248e-15
TSS3_22735810	4.83576374974581	6.6300041633808	120.469357252239	3.09245511904701e-18	5.85305114813129e-15
TSS3_188429	3.22684380210243	7.30127360708849	118.110553458153	5.14244779705365e-18	9.16051450812798e-15
TSS3_19265994	3.41370235112544	6.28488558941609	113.229682933371	1.50106281286476e-17	2.52537139788798e-14
TSS5_6414569	2.77173288075306	7.02393568394832	112.773398229253	1.66138716443131e-17	2.64798881581439e-14
TSS3_5181406	3.95062065121815	6.85161585971582	110.399515658122	2.82751265239808e-17	4.28127828262856e-14
TSS1_24558285	2.49743353600524	10.0800753034775	109.120740273398	3.77540659511814e-17	5.4443160914268e-14
TSS3_6564429	4.20909191057933	7.3384612745831	102.347977510632	1.80296326340765e-16	2.48177893208063e-13
TSS1_29537221	-2.72491028661498	5.82463050545606	101.65947423076	2.12020231738144e-16	2.79156899031575e-13
TSS1_86778	-2.82412549452718	5.17495015246702	99.5948040556453	3.45957205966484e-16	4.36525919511793e-13
TSS2_11337266	2.8701257121204	5.21256997185636	99.3204567519492	3.69365254678574e-16	4.47419520297251e-13
