logFC	logCPM	F	PValue	FDR
TSS1_28053286	5.84378350477929	7.83172965308016	352.97047631084	9.3784363625128e-33	2.0736207776824e-28
TSS1_900765	-5.09756113978866	7.02174425678075	347.659560949131	1.6097800139853e-32	2.0736207776824e-28
TSS4_16891847	-6.37510442480284	5.63051552839852	345.283891550873	2.05424242414794e-32	2.0736207776824e-28
TSS3_242491	-5.03317084277552	8.06321880091576	327.218941520403	1.37200168949696e-31	8.58523904719281e-28
TSS1_10073387	5.44639643271217	8.52525779242969	325.736680204112	1.60919877793136e-31	8.58523904719281e-28
TSS4_18413775	-4.79807326037284	7.52297775874711	324.524983116903	1.83403672132897e-31	8.58523904719281e-28
TSS2_11685133	-5.70628235798751	6.32510553253654	323.796172317996	1.98450197570748e-31	8.58523904719281e-28
TSS1_5279855	-4.43320028988957	8.60283420058731	305.386324786932	1.52539495056214e-30	5.31585311205332e-27
TSS4_6897304	5.15795543004181	7.59717128528332	305.076996562036	1.57985265688604e-30	5.31585311205332e-27
TSS4_14579705	-4.69339332214342	7.21104997711067	302.280374067554	2.17218252607568e-30	6.57802034371497e-27
TSS5_14753088	-5.06968408100464	7.70287914566464	299.153754766266	3.10936860597296e-30	8.56009177224356e-27
TSS5_1568694	6.79772981048116	5.5847739260263	297.276812496341	5.50539082645943e-30	1.38933125331393e-26
TSS5_3143690	-5.80316862385137	6.30294789718948	295.299206420891	6.91182090956358e-30	1.61008209695626e-26
TSS1_20160812	5.19307926651763	9.20535534782601	286.14214316195	1.42811336840293e-29	3.08911122395328e-26
TSS1_749018	-4.10447387263887	9.74542993652246	271.75783126289	8.20511386821962e-29	1.6565030884753e-25
TSS3_16921005	-6.73005905968481	4.46051336895586	268.934512985082	1.16596943531025e-28	2.20681577559377e-25
TSS5_1422895	4.93653873129328	6.72824674392437	265.905316512867	1.70517040520509e-28	2.83249134371355e-25
TSS3_16630484	4.99828174877157	7.10997648232795	265.707819233301	1.74815439163623e-28	2.83249134371355e-25
TSS2_7899245	-4.25408882060409	7.51987001039238	265.577392933168	1.77714676652107e-28	2.83249134371355e-25
TSS1_28485955	-4.21056033885275	8.5815833641913	264.909050541439	1.93361579712942e-28	2.92778435922351e-25
TSS4_14859800	-5.25938127244824	5.36708073590447	264.48243141749	2.0407938911573e-28	2.94292197171031e-25
TSS5_2202386	4.33308714491188	8.2585655598158	261.810138612273	2.86552838237799e-28	3.9443998183433e-25
TSS5_26052641	-4.50873710883899	9.49439548308298	259.001768216258	4.10522417513142e-28	5.26184605339615e-25
TSS5_24102975	-4.2839255593171	8.19186703164314	258.879726550452	4.17013853586195e-28	5.26184605339615e-25
TSS1_17484157	5.06804927135085	6.38198304783422	256.822185933759	5.43733628617988e-28	6.58635419017541e-25
TSS3_2564108	3.95436162626646	9.0071444176634	256.452480018281	5.70381084843598e-28	6.64340399704564e-25
TSS1_16484282	-4.33092621385457	10.3065069735952	254.711981456067	7.14972037656606e-28	7.94776620724886e-25
TSS5_25891503	-4.42041545865121	8.05737601967161	254.286842562233	7.55671304543252e-28	7.94776620724886e-25
TSS5_21700241	-4.06165511177973	10.2257572847729	254.231868619962	7.61104315986583e-28	7.94776620724886e-25
TSS2_11337266	-5.22451300547439	5.21256997185636	252.95398684029	8.99305824738013e-28	9.07789276351375e-25
TSS5_21771806	-4.76477595160108	5.56206492512095	249.454330019981	1.42481836524763e-27	1.39186369531594e-24
TSS1_677355	-4.69726530656836	5.94951867373931	247.803930717909	1.7730831138316e-27	1.67794612300507e-24
TSS3_3923737	-4.22206569834852	7.24241193946466	247.364011542435	1.87984686824323e-27	1.72507280942454e-24
TSS5_25843473	-4.37990861647158	6.5373521582335	244.687340772308	2.68751188950854e-27	2.3689730123345e-24
TSS3_6815376	-4.52004525930175	6.10108334930586	244.548620347066	2.73797362981566e-27	2.3689730123345e-24
TSS5_24462532	-5.2182442961926	5.86346744779029	243.571917643289	3.12181163285237e-27	2.62605060215746e-24
TSS1_28746884	-4.35762935717662	7.12258988833379	242.85031674982	3.44041226962207e-27	2.77468151114617e-24
TSS5_387936	-4.16044055262663	7.16193934980951	242.761731988059	3.48175205308439e-27	2.77468151114617e-24
TSS1_24298751	-4.02890356779169	8.76136424388262	242.464521752826	3.62419929991979e-27	2.81414429229413e-24
TSS5_22309407	-4.317074926308	13.2151862035806	238.254393326327	6.42085531193142e-27	4.86106903528048e-24
TSS5_18036982	5.42515149654868	5.67459470085107	235.939396881402	8.82145941206534e-27	6.51561598477012e-24
TSS5_24767534	-4.22611847674512	6.43186557821703	234.921797091862	1.01505756320486e-26	7.31880671107926e-24
TSS1_1702746	-3.74711590427651	8.16165303163161	233.441055774318	1.24602257931535e-26	8.7751864580016e-24
TSS2_9075374	-4.04748096178177	9.39173276391324	232.718911937627	1.37751639101458e-26	9.48075656115784e-24
TSS1_26888322	-4.03409995029468	6.90883487435391	231.029265626118	1.7435228143724e-26	1.15100566505625e-23
TSS3_373692	6.69212814352454	6.01374857166675	231.007965035623	1.74872345842764e-26	1.15100566505625e-23
TSS1_25423719	-4.30530370593987	6.45176585385908	230.85559620493	1.78639059068268e-26	1.15100566505625e-23
TSS3_5500556	4.06866465806361	7.37723102025082	229.442948746933	2.17768974647162e-26	1.37389538734167e-23
TSS2_9454095	-4.21918201327927	6.94027117906592	229.221382352542	2.2465832764684e-26	1.38843431349577e-23
TSS5_15974399	-4.03504846374293	6.19795170893315	226.353099099227	3.36891049173796e-26	2.04041432842602e-23
TSS1_20456973	-3.89362562669394	7.19902217672152	223.950368113256	4.74392865744667e-26	2.81687042222466e-23
TSS2_9719596	-4.93945192034246	4.87967069846475	221.302980131008	6.93837039382373e-26	4.04066674300315e-23
TSS4_1415952	7.34212434722776	8.68245599556354	220.93003979002	7.32203452209611e-26	4.18364474401201e-23
TSS1_28740840	-3.70208642018047	8.2935668817196	219.370307790443	9.17691084532242e-26	5.14637761349813e-23
TSS4_810446	-3.57408138067411	8.69592005731036	219.18129195516	9.4322290856328e-26	5.19338533454942e-23
TSS2_18471277	-4.01238255580574	6.91298539805925	218.827673053495	9.92957073405691e-26	5.36959268820438e-23
TSS4_15003456	4.36151870281791	6.6618792802378	218.012953243405	1.11800559313084e-25	5.90138067318556e-23
TSS4_15676405	-4.89972618851329	4.82247870564279	217.938115792337	1.13027137022343e-25	5.90138067318556e-23
TSS1_18680092	-4.40044701772068	5.33128686389492	215.231431844985	1.68018503083228e-25	8.6239056421515e-23
TSS5_18702030	4.49900217473625	7.05135871818309	214.712217979551	1.81368046940129e-25	9.15394760914657e-23
TSS1_11575321	-4.63254991767541	5.9560039699479	214.142007918156	1.97283826548787e-25	9.79401003176545e-23
TSS2_17827480	4.30958209669097	8.40839917921737	213.742694241506	2.09273781465427e-25	1.02216740711573e-22
TSS3_8414678	11.100557761301	5.87848517134265	215.222399645637	2.19454379083053e-25	1.05487888282097e-22
TSS3_5830524	3.69147844830997	8.52732888072682	212.961709717596	2.34924218896413e-25	1.11159533138126e-22
TSS2_19176088	4.23474977225491	7.11768981064791	212.685649244627	2.44741828375159e-25	1.14023335210538e-22
TSS5_26743340	-3.65364014099016	7.24404763638171	211.481274076959	2.92732612238144e-25	1.32191917146389e-22
TSS4_14955464	3.80202094951542	7.20569163382707	211.443810215568	2.94371026839682e-25	1.32191917146389e-22
TSS5_5692902	-4.73945962780742	6.54564881618224	211.387871657102	2.96834869925518e-25	1.32191917146389e-22
TSS2_15576023	-5.30332110723021	5.34122655312692	210.953913657753	3.16679492655236e-25	1.37486146982926e-22
TSS3_1876920	-3.67950677364515	6.87972106293523	210.930182021933	3.17803067358084e-25	1.37486146982926e-22
TSS3_6128134	4.06358896581808	7.78448109595345	209.324374323773	4.04131269049358e-25	1.72370524234109e-22
TSS4_13160479	4.2353230938761	6.43359164551082	208.590280625386	4.51253832664964e-25	1.89796108536015e-22
TSS5_6598193	-3.5036494764503	7.6209204406922	208.107628575648	4.8526391010904e-25	2.01304753285371e-22
TSS5_15555160	-4.21058701953395	5.3951508316075	207.14883179142	5.60815464203545e-25	2.27228933827756e-22
TSS1_26036734	-3.5190863691559	7.63272562138625	207.125892325349	5.62763597961948e-25	2.27228933827756e-22
TSS4_17204316	3.9166813794359	7.38210621566953	206.61325024788	6.08152536062523e-25	2.42324779599755e-22
TSS3_8693098	-4.09758228086109	5.56911053389638	205.602239529731	7.08957555234249e-25	2.78822878508555e-22
TSS1_2305057	-3.77997687301357	9.70654429221981	204.852247827094	7.94657822057324e-25	3.08520805453358e-22
TSS5_20940891	3.48910823155837	8.14382215253487	199.183588588052	1.90080389313862e-24	7.28633472100214e-22
TSS3_3624926	3.4855420410473	9.22442232983216	196.547454101886	2.86836661169152e-24	1.08578432627318e-21
TSS5_1176005	-3.41814627618401	7.78818433445693	194.953235824224	3.6856189355192e-24	1.37792096573244e-21
TSS5_23934712	-3.84830117010388	6.0623811964165	194.754487586719	3.80300489300643e-24	1.40446825823066e-21
TSS5_1217106	-3.71500575598836	6.54081917489435	194.270301126642	4.1052464766355e-24	1.49782143436088e-21
TSS3_763104	-3.65672893686069	8.42855299644574	193.602695491335	4.56275242297463e-24	1.64492656696358e-21
TSS2_13916452	-3.89153439718023	6.37725086830734	192.144749670105	5.75200008406643e-24	2.03776008490658e-21
TSS2_784734	7.42180491054951	4.62808948042004	192.106679285875	5.78698832024455e-24	2.03776008490658e-21
TSS1_20256936	-3.3225003871698	9.28345998787551	191.945429541605	5.93761317489714e-24	2.05673030139109e-21
TSS4_17571701	-3.5881228708922	6.56536076768163	191.904273743831	5.9766953908931e-24	2.05673030139109e-21
TSS1_20962642	3.51544438254977	9.4551420631794	191.727014921818	6.14805266283739e-24	2.09192672796297e-21
TSS2_11988676	-3.7747960975827	5.91479858633627	191.644964092542	6.22906460587383e-24	2.09594181621864e-21
TSS5_14012547	5.9290459805017	6.80685192419503	193.008856202439	6.36800334070187e-24	2.11914555127994e-21
TSS3_18893643	3.33875080375453	9.40752463079675	191.128763103794	6.76438843837265e-24	2.2265866856439e-21
TSS1_26536691	5.62586655847538	6.68481610583179	190.685642592798	7.26136253388656e-24	2.36447141520093e-21
TSS3_4733005	5.27124606040253	5.7870735516099	189.836896608982	8.32011554930885e-24	2.68040488489064e-21
TSS5_5184798	-4.34532735395497	5.25240873116786	189.486194416231	8.80252065398838e-24	2.80596561015505e-21
TSS5_19697322	4.40682119531937	6.80958199562985	189.329538353366	9.02715888848368e-24	2.82599501605672e-21
TSS1_21053133	3.91122917152452	6.42566820993827	189.312464728732	9.05199341404425e-24	2.82599501605672e-21
TSS5_15950028	3.88864686621065	6.26904210784707	187.811944994207	1.15316846050629e-23	3.56340821321552e-21
TSS5_23994113	-4.85534457298323	4.70384297630883	186.377352451461	1.45532326763368e-23	4.45167217310613e-21
TSS3_4775119	11.073731745031	4.65354473386019	188.767282697262	1.58220295476144e-23	4.79138520790408e-21
TSS5_22460650	3.38657610704783	10.0152753809851	184.053876330663	2.12705129408298e-23	6.37757369690248e-21
TSS1_24698434	-3.64708604806361	6.1948224684772	183.895826150886	2.18293442004708e-23	6.48096108257703e-21
TSS1_25758193	3.71090962476933	8.00132727030811	183.819154258872	2.2105825032863e-23	6.49932717932225e-21
TSS2_15796992	3.97623794797335	7.74432518772908	183.601459222628	2.29105190491717e-23	6.67114661890448e-21
TSS2_9924998	-3.23048277664599	9.52769886773103	183.325429989633	2.39740869984891e-23	6.91435501500235e-21
TSS3_1956387	-3.32369204043491	8.33720130058799	182.818678747043	2.60599802689783e-23	7.44504134420253e-21
TSS2_10334616	5.02703051148168	5.31946185360264	182.513564982117	2.74045147283115e-23	7.75598990203232e-21
TSS2_6542256	5.28789408964312	6.14849607280349	182.326289003394	2.82647068195937e-23	7.9253714501644e-21
TSS5_3644601	3.47171252300626	7.74806969464436	180.903061788945	3.5773003561105e-23	9.93865932881599e-21
TSS1_28728259	-3.30231249268974	7.85439585221419	179.240099271362	4.71835638842916e-23	1.29896351373455e-20
TSS5_18833265	3.32814277414973	12.908292674687	177.569545135259	6.24213810695101e-23	1.69519166906297e-20
TSS1_10076266	4.32818078855648	7.32219986254768	177.543451273115	6.2695725963429e-23	1.69519166906297e-20
TSS1_22360128	-3.32185436530414	7.40511373544221	177.005930382822	6.86298167131617e-23	1.83921835356166e-20
TSS5_21069624	-3.54581447246843	6.8714124989967	176.065235711105	8.04339019162683e-23	2.13664899274592e-20
TSS4_6734359	3.52339168895506	7.19117384063253	175.596861838004	8.70662109196573e-23	2.29271831763477e-20
TSS1_29745998	3.75667313765315	6.18713320808772	174.886668360925	9.82072202799858e-23	2.56380107908518e-20
TSS2_15169848	3.20470351672479	9.46822959185269	174.730915092043	1.00839568664219e-22	2.57852098628579e-20
TSS4_9920275	-3.22931118846234	8.01343614137699	174.707220749642	1.0124629771868e-22	2.57852098628579e-20
TSS1_6697045	3.66869290031234	6.84750021694284	174.702618351137	1.01325495283826e-22	2.57852098628579e-20
TSS2_7760832	-3.87516320492606	6.45393289360396	173.725193731488	1.19666559449732e-22	3.01988534984685e-20
TSS4_10576380	-3.52171787179934	7.0335623395586	172.974001187745	1.36046527618765e-22	3.40487355031328e-20
TSS1_7613005	-3.66107959462813	5.99202860540327	171.522264915301	1.74509037237659e-22	4.3316862087443e-20
TSS3_6089605	4.59183973140305	5.15793833461571	171.181914682307	1.85036019720209e-22	4.5556469798269e-20
TSS3_20500402	3.36989444039036	7.36176744105548	170.922012179121	1.93510451423333e-22	4.72586854875226e-20
