logFC	logCPM	F	PValue	FDR
TSS2_16780256	-12.7431083429586	11.7071039658233	1066.8102616626	2.15145410272018e-51	3.56033396807858e-47
TSS3_7527652	-11.8976716723344	12.5274712895726	1064.51075502175	2.35137467759375e-51	3.56033396807858e-47
TSS5_18536313	-13.0060841950251	11.0193563813651	996.235313391228	3.57784819150057e-50	3.61159922610705e-46
TSS2_9207119	-12.3986672221113	11.0056524713767	984.25612385403	5.87105572358738e-50	4.44482951193491e-46
TSS3_222814	-10.9603909894946	10.5349289312209	970.384366269466	1.04909733450152e-49	6.35396291614189e-46
TSS5_26519242	-12.485993073458	11.0991772496676	960.37341224762	1.60255132221263e-49	8.08834361509417e-46
TSS2_17529751	-11.7216203016068	11.0753656323508	956.750445789454	1.86996506350665e-49	8.08973600259598e-46
TSS5_23306421	-10.8384937237426	11.3986645428653	953.078541807186	2.18775105946197e-49	8.23073353113436e-46
TSS5_26663621	-10.3701737406381	11.1056807252575	950.47463227872	2.44614476043355e-49	8.23073353113436e-46
TSS3_1498990	-13.3859425388629	9.33175166819546	935.04323253457	4.76793767707689e-49	1.4438745667492e-45
TSS1_25579375	-11.8788066354445	12.265631817022	921.48672042636	8.64158657627326e-49	2.37902878444803e-45
TSS5_13853745	-11.9109771718763	11.7470210759605	916.997230005003	1.05411278329114e-48	2.66014145136714e-45
TSS3_10243758	-11.3896116264775	12.257257845029	914.693955462134	1.1676390703857e-48	2.71997030526848e-45
TSS5_2329878	-11.6687048470278	9.39950210246139	904.784643621773	1.81799743809032e-48	3.93245831554921e-45
TSS4_12900458	-12.1729130292573	12.1616746889819	902.456275264693	2.01860985686536e-48	4.07530415303025e-45
TSS5_2090391	-12.134431398623	10.3266377814817	898.984695527241	2.36064368918132e-48	4.46796080246737e-45
TSS2_12157923	-10.730578121625	10.855921704012	884.846201166382	4.4913074558888e-48	8.00060374627532e-45
TSS5_21943989	-13.8757927793459	8.47072869915137	869.156679759418	9.27154283373797e-48	1.55983406463382e-44
TSS1_20459035	-11.8679483474634	11.8290614205944	866.015499094036	1.07347813003867e-47	1.71095464273479e-44
TSS5_122522	-11.2387584147299	10.3610736792722	864.398964004459	1.15778086016928e-47	1.74060738391742e-44
TSS5_22239187	-10.154096167467	11.7880714755209	863.509238139621	1.20703876968153e-47	1.74060738391742e-44
TSS3_19666484	-11.6616566500374	8.92991497500575	860.802206424747	1.3705026503118e-47	1.88649689815419e-44
TSS1_9753953	-11.0783764026005	9.39990681201458	836.259340434272	4.40830091958925e-47	5.80419898904005e-44
TSS3_16984791	-11.8245823304878	8.86138251040282	833.740278919012	4.97863152782456e-47	6.28199577321297e-44
TSS3_20895604	-9.73858859293778	10.5464013026695	830.48233112134	5.82991018987266e-47	6.81872455194457e-44
TSS5_17849528	-10.5680975976522	10.9012432842278	830.396194565769	5.85433538125545e-47	6.81872455194457e-44
TSS3_19214746	-10.8752146941076	10.3690111424591	826.412003877191	7.10640340697611e-47	7.97048942123916e-44
TSS4_13752626	-10.0276763903902	9.63952567893352	825.652611179598	7.37453808269606e-47	7.97582631279588e-44
TSS5_7446952	-11.6929162440978	8.67887358558244	832.882103365785	1.07021058795667e-46	1.11755818052041e-43
TSS2_2055552	-10.7076950835314	13.1759118737138	811.752673200989	1.46063008617823e-46	1.47440869665784e-43
TSS5_21026918	-11.4441199051956	9.50394946520838	796.459340006812	3.13648915904676e-46	3.0639452001101e-43
TSS2_9303242	-9.24002179274145	11.3452334737936	791.986788783778	3.93182821659451e-46	3.72086105884786e-43
TSS1_17456165	-9.748794205624	9.63149226820707	786.027344037243	5.32296283958452e-46	4.88470556579206e-43
TSS1_10378961	-10.4515814576598	8.72041453187792	785.361649058897	5.50686943210378e-46	4.90483902977643e-43
TSS3_6000461	-11.6599082235856	8.69998515262041	783.731391307434	5.98518687996403e-46	5.17855469388431e-43
TSS2_11713387	-9.30676675734649	9.88584186149445	776.947334687996	8.47882497376238e-46	7.09535877248047e-43
TSS5_22565370	-11.4991743884145	9.25753611263357	776.4912750829	8.68053587945671e-46	7.09535877248047e-43
TSS1_588353	-9.98826367926508	8.59432683521538	775.999679662307	8.90346509111573e-46	7.09535877248047e-43
TSS3_4136535	-10.7124401562813	9.98844590234049	772.385008454823	1.07331309179967e-45	8.33413855358186e-43
TSS3_20354352	-9.94559793633153	9.42745507372789	761.30924252757	1.91237367770218e-45	1.44781030204638e-42
TSS5_22405952	-11.2199597261645	9.80769619277143	754.190697420525	2.78309499919992e-45	2.0556211185554e-42
TSS3_3463602	-9.57999916972127	9.11895902214207	749.363529559622	3.59596551945281e-45	2.59277675775213e-42
TSS2_14031073	-11.0403304668788	8.88409283801245	746.126436025627	4.27370707258561e-45	3.00978305300256e-42
TSS1_28472357	-10.7257329492997	9.97562395526101	753.891559963201	5.60026898689822e-45	3.8543851302327e-42
TSS1_2305057	-9.74947708166608	9.70654429221981	736.254710425576	7.2660679794954e-45	4.88974081384576e-42
TSS5_22379926	-12.783885758488	8.1628264655196	745.222282340034	8.8428862907683e-45	5.7587668279908e-42
TSS2_538253	-9.97597347266502	9.94746846160308	732.434954497049	8.93775520640516e-45	5.7587668279908e-42
TSS3_21622002	-10.1913049342365	9.26645608866429	730.834497227314	9.75063196045004e-45	6.15163307621476e-42
TSS4_17263606	-11.2657888406578	7.97102097127726	728.446419030028	1.1106546422427e-44	6.86407235327256e-42
TSS4_14087571	-10.4249163038097	9.60608632602766	727.751683830828	1.15361377389885e-44	6.9869771829958e-42
TSS1_1629513	-11.2863306848565	8.36073711801066	735.693139838402	1.46911103844712e-44	8.72335089750867e-42
TSS2_8595453	-12.6860502494487	7.15292855770769	733.638326145654	1.64031853486165e-44	9.55264734446447e-42
TSS2_10057550	-10.6723365675595	8.10823087314891	718.227862085186	1.94725495931634e-44	1.11261739496183e-41
TSS2_8045021	-10.1010037206097	8.3484655220764	712.606954963901	2.65995740774463e-44	1.49169426256908e-41
TSS5_17758277	-9.96718817862939	11.9484707277299	711.37984880609	2.84820851013388e-44	1.5514451513702e-41
TSS3_6931806	-9.240996757522	9.63923401759332	711.249642919132	2.86896702693693e-44	1.5514451513702e-41
TSS2_12181020	-9.45869468833598	9.57320491244301	710.597801814815	2.97523881832051e-44	1.58068696728421e-41
TSS4_6268310	-9.35452175630597	7.90848956938095	705.732164475222	3.90698138105454e-44	2.03991581314611e-41
TSS2_19568623	-9.20637899406098	8.47837687129836	701.410783964481	4.98351474439076e-44	2.55789452549806e-41
TSS2_1824392	9.32038638737884	9.57501239343101	698.895885365688	5.74530428629874e-44	2.89975082836641e-41
TSS1_17780487	-10.0011207121433	8.06667530102899	694.162746606493	7.51826652389456e-44	3.73238795316556e-41
TSS2_15358628	-8.8935153196281	9.60378868672976	693.322394973091	7.88732684872634e-44	3.85245030580613e-41
TSS5_15899655	-11.7298894711219	7.06291244757323	691.072539471569	8.96933150857618e-44	4.31140104879702e-41
TSS1_2368385	-10.9123255292039	9.57044268581942	681.734937335821	1.53535699228678e-43	7.26487746834695e-41
TSS1_1244960	-12.9726748904545	8.47760169569452	683.752278893971	2.60325069848134e-43	1.20192613834676e-40
TSS3_7972893	-15.392537250485	8.04663081506939	683.643304631356	2.61952663642591e-43	1.20192613834676e-40
TSS1_2563682	-15.0614130776921	7.44321694214001	682.600019494819	2.78071513537076e-43	1.25684173797661e-40
TSS1_28740840	-8.54504307509294	8.2935668817196	670.364763028229	2.98077610991648e-43	1.32745357259707e-40
TSS1_5153084	-12.6826648417819	7.66919106058187	668.482375619172	3.3300096524363e-43	1.46148814934389e-40
TSS3_7970774	-13.0770350752491	7.81600356145957	667.105798961463	3.61167236112565e-43	1.5624610587424e-40
