#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
AT1G08765.2	35	0.40914	8.36358642578	1	0.0129158	noncoding
AT1G01448.3	69	0.33001	9.62127685547	1	0.0434656	noncoding
AT1G08775.1	104	0.37668	7.86932373047	-1	0.0800336	noncoding
AT1G04047.1	52	0.38483	10.6371459961	1	0.0397147	noncoding
AT1G04087.1	6	0.43065	3.79937744141	1	0.00726944	noncoding
AT1G04107.1	70	0.3649	5.98736572266	1	0.0674894	noncoding
AT1G08805.1	53	0.38773	4.34625244141	1	0.0716611	noncoding
AT1G04133.1	35	0.40763	5.22161865234	1	0.0171261	noncoding
AT1G04147.1	0	0.36527	0.0	-1	3.19423e-06	noncoding
AT1G08815.2	30	0.41156	11.4332885742	1	0.0208188	noncoding
AT1G03420.1	172	0.32893	7.64459228516	1	0.823353	coding
AT1G08825.1	42	0.33166	9.42889404297	1	0.0152061	noncoding
AT1G03580.2	41	0.44394	10.639831543	1	0.0506542	noncoding
AT1G04237.1	64	0.39459	10.5626831055	1	0.0718683	noncoding
AT1G04295.1	78	0.37479	11.2936401367	1	0.0931023	noncoding
AT1G04425.1	32	0.38852	8.84234619141	1	0.0106636	noncoding
AT1G04287.1	21	0.39224	5.96209716797	1	0.00476482	noncoding
AT1G05061.1	66	0.37709	11.0840454102	1	0.063916	noncoding
AT1G05135.1	196	0.41761	9.13275146484	1	0.990352	coding
AT1G04363.1	18	0.46199	9.36956787109	1	0.0126794	noncoding
AT1G04357.1	39	0.36727	6.00299072266	-1	0.0239605	noncoding
AT1G05562.1	71	0.42109	8.29473876953	1	0.102046	noncoding
AT1G04397.1	46	0.38764	7.79461669922	1	0.0178551	noncoding
AT1G06002.1	85	0.3482	9.51409912109	1	0.0920423	noncoding
AT1G06370.5	96	0.41262	9.55206298828	1	0.309664	noncoding
AT1G04493.1	57	0.32133	9.38983154297	1	0.0256589	noncoding
AT1G04533.1	28	0.4178	4.22808837891	1	0.0214523	noncoding
AT1G04543.1	32	0.3453	11.705871582	1	0.0162822	noncoding
AT1G07119.4	33	0.43106	4.76788330078	1	0.0229287	noncoding
AT1G07128.1	84	0.38511	9.37506103516	1	0.134611	noncoding
AT1G07728.2	62	0.39868	10.2553100586	1	0.0675288	noncoding
AT1G04647.1	134	0.40973	7.85919189453	1	0.783833	coding
AT1G08592.1	105	0.35405	10.163269043	1	0.2009	noncoding
AT1G04673.1	21	0.41473	5.58538818359	1	0.0062671	noncoding
AT1G04683.1	15	0.3222	12.3106079102	1	0.0105791	noncoding
AT1G09421.1	38	0.38262	5.30914306641	1	0.0158525	noncoding
AT1G09486.1	96	0.36316	9.61920166016	1	0.166655	noncoding
AT1G04703.1	79	0.37786	6.23468017578	1	0.116104	noncoding
AT1G04753.1	13	0.32291	6.49139404297	-1	0.0421739	noncoding
AT1G10160.1	911	0.40061	9.20953369141	1	1	coding
AT1G04783.1	85	0.3873	10.2855834961	1	0.151122	noncoding
AT1G10538.1	64	0.38315	9.66680908203	1	0.0571019	noncoding
AT1G10682.1	35	0.29769	5.81365966797	1	0.0102781	noncoding
AT1G11150.1	331	0.34554	8.51568603516	-1	0.329303	noncoding
AT1G11175.1	37	0.29726	4.65582275391	1	0.0192251	noncoding
AT1G11185.1	73	0.35731	9.18267822266	1	0.060447	noncoding
AT1G11592.1	96	0.39996	8.30364990234	1	0.255276	noncoding
AT1G04863.1	65	0.38187	11.4664916992	1	0.0612936	noncoding
AT1G04903.1	38	0.36842	6.51324462891	1	0.0100834	noncoding
AT1G08885.1	19	0.36347	7.99981689453	-1	0.0461732	noncoding
AT1G13145.1	37	0.32126	10.1763305664	1	0.0155232	noncoding
AT1G05003.1	14	0.33516	10.0606079102	1	0.00654433	noncoding
AT1G05013.1	21	0.35673	8.52105712891	1	0.00488864	noncoding
AT1G05023.1	35	0.39558	10.2969360352	1	0.0197762	noncoding
AT1G05027.1	37	0.30812	9.51470947266	1	0.0128738	noncoding
AT1G14090.1	277	0.30253	5.31195068359	1	0.999663	coding
AT1G14182.1	54	0.40564	5.60394287109	1	0.0467681	noncoding
AT1G05107.1	21	0.41154	7.99981689453	-1	0.0279905	noncoding
AT1G15002.1	66	0.38266	11.8821411133	1	0.056811	noncoding
AT1G15175.3	41	0.38889	7.74542236328	1	0.0136463	noncoding
AT1G15300.1	800	0.47752	4.68939208984	1	1	coding
AT1G05157.1	39	0.42874	11.1659545898	1	0.0383725	noncoding
AT1G15560.1	79	0.41755	10.6777954102	1	0.180181	noncoding
AT1G05167.2	32	0.36965	9.99237060547	1	0.0136059	noncoding
AT1G05177.1	29	0.24904	4.67706298828	1	0.0493979	noncoding
AT1G16140.1	573	0.45653	7.73541259766	1	1	coding
AT1G16489.3	56	0.36529	8.05804443359	-1	0.0624741	noncoding
AT1G16550.1	354	0.44988	5.47076416016	1	1	coding
AT1G16635.1	42	0.36034	4.42047119141	1	0.0262463	noncoding
AT1G17255.2	64	0.34626	4.15203857422	1	0.0998618	noncoding
AT1G05333.2	804	0.47516	9.08477783203	1	1	coding
AT1G05357.1	47	0.3402	9.68463134766	1	0.0203351	noncoding
AT1G05383.1	31	0.33858	8.18975830078	1	0.00692701	noncoding
AT1G05387.1	20	0.40483	4.27374267578	1	0.0108378	noncoding
AT1G18382.1	35	0.48105	7.97723388672	1	0.0222796	noncoding
AT1G18415.2	72	0.3686	11.1221313477	1	0.0726571	noncoding
AT1G08925.2	35	0.39267	10.2949829102	1	0.0193175	noncoding
AT1G05487.1	20	0.31109	9.69390869141	1	0.00761928	noncoding
AT1G05493.1	57	0.46226	10.1774291992	1	0.136659	noncoding
AT1G05517.1	54	0.31189	9.13751220703	1	0.0212211	noncoding
AT1G05523.1	44	0.39924	5.82330322266	1	0.0218368	noncoding
AT1G05527.1	32	0.37632	8.03961181641	1	0.00808051	noncoding
AT1G20390.1	1080	0.49346	8.83563232422	1	1	coding
AT1G05553.1	67	0.38165	9.92108154297	1	0.0664131	noncoding
AT1G20515.2	53	0.41511	5.99615478516	1	0.0414824	noncoding
AT1G20691.2	54	0.39387	8.83978271484	1	0.0340101	noncoding
AT1G21220.1	228	0.45306	5.14361572266	1	0.999913	coding
AT1G21260.1	236	0.42765	8.40765380859	1	0.999412	coding
AT1G05653.1	33	0.36472	9.30230712891	1	0.0112567	noncoding
AT1G05657.1	22	0.37309	11.0001831055	1	0.011604	noncoding
AT1G22350.1	242	0.44081	5.03729248047	1	0.999966	coding
AT1G22403.1	58	0.4319	4.99298095703	1	0.100253	noncoding
AT1G08965.2	28	0.39645	9.30145263672	1	0.0106349	noncoding
AT1G23052.1	44	0.32938	9.82427978516	1	0.0181607	noncoding
AT1G24068.1	80	0.42217	5.63604736328	1	0.237405	noncoding
AT1G05913.1	25	0.29036	6.00140380859	-1	0.0702048	noncoding
AT1G24792.1	235	0.36851	8.17633056641	1	0.996095	coding
AT1G05937.1	37	0.30943	7.73736572266	1	0.0085046	noncoding
AT1G05953.1	32	0.40981	8.27508544922	-1	0.0365985	noncoding
AT1G05977.1	28	0.34102	12.0244750977	1	0.0139615	noncoding
AT1G26208.2	67	0.35627	4.81768798828	1	0.0880971	noncoding
AT1G26218.1	81	0.38386	11.2732543945	1	0.115417	noncoding
AT1G06093.1	20	0.3374	9.52264404297	1	0.0066413	noncoding
AT1G27921.2	49	0.28178	7.80450439453	1	0.015817	noncoding
AT1G06117.1	25	0.39478	7.99981689453	1	0.00614072	noncoding
AT1G06123.1	14	0.32313	10.6022338867	1	0.00835857	noncoding
AT1G09015.1	26	0.3635	11.1969604492	1	0.0135069	noncoding
AT1G06133.1	9	0.31226	5.27496337891	1	0.0027813	noncoding
AT1G06157.1	37	0.37374	9.66351318359	-1	0.100295	noncoding
AT1G28620.4	68	0.32338	7.88128662109	1	0.0333153	noncoding
AT1G06177.1	35	0.41957	5.75128173828	-1	0.0165642	noncoding
AT1G28715.1	59	0.31849	9.48992919922	1	0.0278358	noncoding
AT1G06187.1	22	0.39534	8.65679931641	1	0.00626544	noncoding
AT1G29357.4	59	0.44027	9.40277099609	1	0.0870541	noncoding
AT1G29360.1	59	0.366	9.74334716797	1	0.0395639	noncoding
AT1G29785.3	105	0.33331	7.54656982422	1	0.178786	noncoding
AT1G06297.1	28	0.38356	7.95526123047	1	0.00669378	noncoding
AT1G09075.1	39	0.31317	9.10052490234	1	0.0121519	noncoding
AT1G09085.1	31	0.38561	7.97552490234	1	0.00800175	noncoding
AT1G30835.2	133	0.30555	11.1869506836	1	0.191075	noncoding
AT1G30935.1	329	0.46249	5.59002685547	1	1	coding
AT1G30945.1	149	0.41976	7.66607666016	1	0.917353	coding
AT1G31258.1	45	0.41115	7.67205810547	1	0.0205838	noncoding
AT1G31355.2	96	0.33087	9.57818603516	1	0.113639	noncoding
AT1G06447.1	20	0.36589	10.8342895508	1	0.0102694	noncoding
AT1G06443.1	57	0.40175	6.20562744141	-1	0.0256819	noncoding
AT1G09105.1	42	0.39655	6.21429443359	1	0.0168066	noncoding
AT1G31935.1	86	0.39637	10.1420288086	1	0.176179	noncoding
AT1G06473.1	53	0.37524	9.45379638672	1	0.0310719	noncoding
AT1G31983.1	129	0.43294	6.26763916016	1	0.863885	coding
AT1G32172.1	77	0.37623	6.57012939453	1	0.0936936	noncoding
AT1G09125.1	24	0.40914	4.16119384766	1	0.01593	noncoding
AT1G06537.1	7	0.35679	8.50006103516	1	1.86671e-05	noncoding
AT1G06567.1	42	0.42834	12.401550293	1	0.0316278	noncoding
AT1G06607.1	51	0.41362	11.1461791992	1	0.0528117	noncoding
AT1G06617.1	15	0.36138	5.27471923828	1	0.00341339	noncoding
AT1G06627.1	26	0.32658	9.99200439453	1	0.0100055	noncoding
AT1G33415.4	92	0.33698	10.0679321289	1	0.107238	noncoding
AT1G33660.1	60	0.32615	9.64459228516	1	0.0307652	noncoding
AT1G06717.1	33	0.36964	4.78338623047	1	0.0133651	noncoding
AT1G09185.5	92	0.3047	10.0264282227	1	0.0790213	noncoding
AT1G34044.3	123	0.42714	10.2997436523	1	0.703519	coding
AT1G34330.1	142	0.35163	6.80865478516	1	0.712048	coding
AT1G34418.1	34	0.40484	11.7113647461	1	0.022276	noncoding
