#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
AT1G73710.1	992	0.49422	5.81805419922	1	1	coding
AT1G52920.1	411	0.47155	6.53253173828	1	1	coding
AT1G12970.1	465	0.45566	4.69244384766	1	1	coding
AT3G49940.1	248	0.34928	8.29010009766	1	0.995453	coding
AT3G05700.1	224	0.42662	5.40496826172	1	0.999804	coding
AT1G56090.1	273	0.48492	4.86761474609	1	0.999996	coding
AT4G39140.2	430	0.41993	9.04058837891	1	1	coding
AT1G30700.1	528	0.42793	9.41961669922	1	1	coding
AT1G78190.1	125	0.4536	5.32879638672	1	0.903563	coding
AT1G58270.1	397	0.40268	5.62762451172	1	1	coding
AT5G14570.1	494	0.46998	5.39691162109	1	1	coding
AT2G23770.1	613	0.43332	5.27508544922	1	1	coding
AT3G61870.2	255	0.44996	9.43365478516	1	0.999849	coding
AT1G09660.3	299	0.38409	8.42449951172	1	0.999907	coding
AT4G10800.1	284	0.43977	4.74774169922	1	0.999998	coding
AT5G27750.1	460	0.46812	5.17828369141	1	1	coding
AT3G48450.1	90	0.34188	10.2833862305	1	0.105919	noncoding
AT1G14790.1	1108	0.4904	7.92449951172	1	1	coding
AT2G40980.1	618	0.4622	5.32025146484	1	1	coding
AT4G23730.3	313	0.38867	5.88629150391	1	0.999997	coding
AT1G76180.1	186	0.4462	5.41241455078	1	0.998083	coding
AT5G57460.1	647	0.48001	5.18853759766	1	1	coding
AT3G13240.2	52	0.41172	7.80670166016	1	0.0312047	noncoding
AT4G18140.3	443	0.47336	4.48895263672	1	1	coding
AT4G35520.3	1154	0.48008	5.93316650391	1	1	coding
AT1G19140.2	313	0.47411	8.79718017578	1	0.999998	coding
AT4G00755.1	378	0.45827	4.93096923828	1	1	coding
AT1G60930.1	625	0.37984	9.22723388672	1	1	coding
AT1G20560.2	479	0.47477	6.73992919922	1	1	coding
AT5G38480.3	255	0.48839	4.81719970703	1	0.999985	coding
AT4G12450.1	278	0.3612	9.37310791016	1	0.998466	coding
AT3G50830.1	204	0.43647	9.44171142578	1	0.996077	coding
AT1G01940.1	161	0.42493	8.44244384766	1	0.953293	coding
AT2G41870.1	275	0.47883	6.19976806641	1	0.999993	coding
AT5G61830.1	317	0.43651	8.35601806641	1	0.999996	coding
AT1G62870.1	763	0.45909	8.36456298828	1	1	coding
AT4G10280.1	141	0.45293	5.03387451172	1	0.970366	coding
AT5G38410.2	175	0.42152	8.22406005859	1	0.978263	coding
AT4G21540.2	276	0.48262	5.99957275391	1	0.999994	coding
AT4G30940.1	442	0.38926	5.09600830078	1	1	coding
AT3G16220.2	200	0.39137	8.65594482422	1	0.985699	coding
AT3G25740.2	255	0.36854	9.17095947266	1	0.997245	coding
AT5G62130.2	346	0.34456	8.14361572266	1	0.999951	coding
AT1G01930.1	581	0.48449	6.68341064453	1	1	coding
AT5G52870.1	327	0.40401	9.51593017578	1	0.999978	coding
AT3G08620.1	284	0.36842	9.29681396484	1	0.999207	coding
AT1G03760.1	392	0.46186	4.97467041016	1	1	coding
AT1G77290.3	267	0.43404	9.44171142578	1	0.999862	coding
AT4G26550.2	165	0.38797	9.55401611328	1	0.890831	coding
AT3G25440.1	445	0.45983	8.62310791016	1	1	coding
AT4G24840.1	757	0.49235	5.53131103516	1	1	coding
AT2G31320.1	984	0.48017	8.80242919922	1	1	coding
AT5G39740.2	302	0.5068	9.18499755859	1	0.999998	coding
AT1G08940.1	282	0.44038	5.54937744141	1	0.999996	coding
AT1G63500.1	488	0.48376	5.95819091797	1	1	coding
AT1G50780.1	324	0.46989	4.27923583984	1	1	coding
AT1G58120.1	421	0.41334	5.71563720703	1	1	coding
AT3G20210.1	467	0.49226	6.09100341797	1	1	coding
AT5G11650.2	302	0.38699	9.76812744141	1	0.999784	coding
AT1G74120.1	446	0.42096	9.62591552734	1	1	coding
AT5G38670.1	292	0.38943	8.42889404297	1	0.999893	coding
AT5G30510.1	417	0.45823	5.12506103516	1	1	coding
AT5G45300.1	690	0.47851	5.81085205078	1	1	coding
AT1G59870.1	1470	0.50557	8.08270263672	1	1	coding
AT3G47340.3	457	0.46284	6.25396728516	1	1	coding
AT3G01360.2	320	0.45991	6.16827392578	1	1	coding
AT5G50150.1	421	0.44389	9.06707763672	1	1	coding
AT1G21060.2	506	0.46667	9.09027099609	1	1	coding
AT5G42770.3	207	0.44276	5.03729248047	1	0.999643	coding
AT2G47240.3	661	0.47926	5.96832275391	1	1	coding
AT2G01100.3	248	0.39529	10.3538208008	1	0.997089	coding
AT5G25820.1	655	0.47508	9.52484130859	1	1	coding
AT3G49310.1	461	0.46932	6.35052490234	1	1	coding
AT4G03420.1	311	0.35599	5.24688720703	1	0.999994	coding
AT5G58960.1	560	0.45644	8.52459716797	1	1	coding
AT1G28470.1	315	0.45705	7.23846435547	1	0.999999	coding
AT5G38010.1	454	0.49855	5.89459228516	1	1	coding
AT5G54500.2	245	0.45408	7.09075927734	1	0.999901	coding
AT1G12060.1	216	0.34674	8.95513916016	1	0.967897	coding
AT5G13630.2	1264	0.47707	6.15704345703	1	1	coding
AT1G67900.6	632	0.45178	9.02630615234	1	1	coding
AT5G60220.1	328	0.42049	8.82940673828	1	0.999994	coding
AT3G47570.1	1011	0.46366	6.44561767578	1	1	coding
AT1G78280.1	944	0.46365	5.01922607422	1	1	coding
AT2G44260.1	554	0.47003	5.74481201172	1	1	coding
AT5G27460.1	492	0.48502	8.76055908203	1	1	coding
AT3G63390.1	176	0.37944	5.58636474609	1	0.985638	coding
AT5G13370.1	596	0.46975	5.48590087891	1	1	coding
AT2G42980.1	528	0.42822	5.84014892578	1	1	coding
AT3G21560.1	497	0.46174	6.45196533203	1	1	coding
AT1G69700.1	185	0.42264	6.20648193359	1	0.995118	coding
AT1G47056.1	519	0.42617	8.92913818359	1	1	coding
AT3G20395.1	224	0.44592	8.99481201172	1	0.999151	coding
AT5G65660.1	137	0.36402	9.20758056641	1	0.56838	coding
AT3G17240.2	128	0.36267	9.84881591797	1	0.439639	noncoding
AT4G36540.2	303	0.39686	6.56695556641	1	0.999991	coding
AT1G77300.2	1502	0.46581	5.16900634766	1	1	coding
