seqnames	start	end	width	strand	TSS	ATAC	Intragenic	Bidir	name	DS	S24	S72	L6	L26	L57	MaxActivity
1	9564	10063	500	*	TSS1_9814	NA	FALSE	FALSE	ENH1_9814	0	0	0	0	0.179025	0.204671	L57
1	14010	14509	500	*	TSS1_14282	ATAC1_14267	FALSE	FALSE	ENH1_14260	0	0	0	0.353987	0.0599779	0.306513	L6
1	20281	21760	1480	*	TSS1_21284	ATAC1_21181	FALSE	FALSE	ENH1_21020	1.118514	5.556857	2.4934469999999997	2.035431	1.492178	0.408354	S24
1	120280	121049	770	*	TSS1_120454,TSS1_120800	ATAC1_120686	TRUE	TRUE	ENH1_120664	8.39833	28.9047	18.11488	6.814260000000001	3.4614540000000003	0.91855	S24
1	146077	146576	500	*	TSS1_146304	ATAC1_146387	FALSE	FALSE	ENH1_146327	0.840465	0.317476	0	0.2654908	1.908385	0.817697	L26
1	155044	155671	628	*	TSS1_155199,TSS1_155377	ATAC1_155256	TRUE	TRUE	ENH1_155358	11.2057	49.076751	19.2732	4.600764	0.596144	1.9409139999999998	S24
1	210413	211214	802	*	TSS1_210585,TSS1_211067	ATAC1_210744	TRUE	TRUE	ENH1_210814	1.67935	13.816379999999999	4.819152	3.45137	10.78876	0.305524	S24
1	263359	263858	500	*	TSS1_263457,TSS1_263799	NA	TRUE	TRUE	ENH1_263608	3.36186	5.2404079999999995	1.829287	14.59771	0.537075	0	L6
1	342094	342610	517	*	TSS1_342511	ATAC1_342443	FALSE	FALSE	ENH1_342352	0.279628	0.317476	1.49493	1.8584340000000001	6.7320660000000005	3.06414	L26
1	367976	368518	543	*	TSS1_368340	ATAC1_368212	FALSE	FALSE	ENH1_368247	0.840465	0.952427	0.332082	0.973465	0.835147	0.613026	L6
1	369287	369861	575	*	TSS1_369854	ATAC1_369430	FALSE	FALSE	ENH1_369574	0	0.9524269999999999	1.49607	0.442484	1.07415	0.6130249999999999	S72
1	371384	371883	500	*	TSS1_371634	NA	FALSE	FALSE	ENH1_371634	0	0	0	0	0	0.101841	L57
1	505702	506201	500	*	TSS1_505855	ATAC1_505933	FALSE	FALSE	ENH1_505952	0	1.11116	0.665297	0.530981	0.298072	0.919539	S24
