TSS1_1418438	AT1G04985.1
TSS1_4593608	AT1G13390.1
TSS1_4594250	AT1G13390.2
TSS1_10218952	AT1G29240.1
TSS1_11373482	AT1G31760.1
TSS1_12961293	AT1G35320.1
TSS1_19915097	AT1G53380.2
TSS1_25540919	AT1G68140.3
TSS1_26638077	AT1G70650.1
TSS1_27741213	AT1G73760.1
TSS1_28339265	AT1G75500.1
TSS2_6025931	AT2G14220.1
TSS2_13689777	AT2G32240.1
TSS2_16028614	AT2G38260.1
TSS2_19563391	AT2G47750.1
TSS3_2315097	AT3G07270.1
TSS3_4492695	AT3G13700.2
TSS3_4496185	AT3G13720.1
TSS3_10118533	AT3G27330.1
TSS3_10120659	none
TSS3_16217572	AT3G44670.1
TSS4_7221328	AT4G12050.1
TSS4_10076152	AT4G18210.1
TSS4_11556837	AT4G21750.1
TSS4_13993018	AT4G28220.1
TSS4_15156679	AT4G31180.1
TSS4_15393748	AT4G31820.1
TSS5_14898	AT5G01040.1
TSS5_7601708	AT5G22790.1
TSS5_24047421	AT5G59680.1
TSS5_25582717	AT5G63930.1
TSS2_10676863	ath-MIR156a
TSS2_12586520	AT2G29290.2
TSS3_242491	AT3G01650.2
TSS4_10337343	AT4G18830.1
TSS4_11211952	AT4G20960.1
TSS4_16471874	AT4G34450.1
TSS5_9984675	AT5G27950.1
TSS5_16888264	AT5G42240.1
TSS5_26316341	AT5G65780.1
