logFC	logCPM	F	PValue	FDR
TSS5_26002437	10.4355824859964	12.4402589523358	817.706889891166	1.08853480013587e-46	3.29640993525145e-42
TSS3_8979713	6.63816394690907	10.296215419927	493.872399398628	4.01176498089809e-38	6.07441394582684e-34
TSS2_16986559	7.03637361343347	8.73674336683295	445.008752957245	2.00279613587955e-36	2.02168917942801e-32
TSS4_10578560	7.30950744572029	8.09325518959	426.293397248372	9.85657452123579e-36	7.46216615566458e-32
TSS4_12018255	-5.46891233654737	8.6430994907123	390.504023809624	2.45675290989245e-34	1.48795696740546e-30
TSS5_26743340	6.71248768743709	7.24404763638171	362.823421862726	3.50124755592584e-33	1.7671379956017e-29
TSS5_19949191	6.67418528666093	8.21592408329397	358.539201993619	5.35947613123337e-33	2.31858593831629e-29
TSS4_18413775	5.57257825655274	7.52297775874711	345.96368187903	1.91555118195863e-32	7.25107955540666e-29
TSS1_27148511	5.25107375985365	9.01523623600414	343.294810525973	2.52205309352856e-32	8.4861482034806e-29
TSS5_3143690	13.7415498505368	6.30294789718948	340.404525076216	5.05828817755327e-32	1.53180140880846e-28
TSS2_18471277	9.62110462140512	6.91298539805925	322.455310386341	2.29515128689626e-31	6.3185514928254e-28
TSS5_24709537	6.91161819419594	8.34086568055869	320.772407187155	2.75661098377897e-31	6.9565375351482e-28
TSS2_17057490	6.09824939578729	7.42285439202066	312.306500229744	7.00915826564315e-31	1.63275645968055e-27
TSS3_21384195	-5.34049808722687	6.14406652749166	309.056955333668	1.00812709419518e-30	2.04431746563924e-27
TSS3_3366464	5.2467303344032	12.2110690221824	308.504455234782	1.07270925747316e-30	2.04431746563924e-27
TSS2_7899245	6.29029000912197	7.51987001039238	308.443296217352	1.08011357693187e-30	2.04431746563924e-27
TSS4_13607331	-4.9027145771155	7.42653763444295	302.096117910696	2.2184094710445e-30	3.95177023597886e-27
TSS5_25996149	9.26587220055339	5.83552148966952	298.83843726556	3.22442265546845e-30	5.42473284864173e-27
TSS1_20256936	4.62273824993566	9.28345998787551	295.929603806212	4.51473228662229e-30	7.19577041240963e-27
TSS5_4222265	5.78051712337386	9.38860716068904	295.062048599087	4.99395592967682e-30	7.3593095591791e-27
TSS1_5279855	4.55833718536824	8.60283420058731	294.875918474584	5.10337485529046e-30	7.3593095591791e-27
TSS1_8756592	5.27069110084734	9.29490720220463	288.928067964943	1.02584788003317e-29	1.40066070933018e-26
TSS5_6598193	4.72962222216321	7.6209204406922	288.621104949246	1.06380465325741e-29	1.40066070933018e-26
TSS3_729454	-4.56179451795764	7.88352600155462	283.587665158517	1.9384315964863e-29	2.44589683484977e-26
TSS1_1702746	5.31877049271885	8.16165303163161	281.213323450546	2.5799007901467e-29	3.1250854251205e-26
TSS1_4366609	6.84661895893734	7.52639623150777	274.922070761111	5.5523119281359e-29	6.46694854306691e-26
TSS5_4866240	5.80938473538048	8.15051386355521	263.974926735402	2.17624193242963e-28	2.44085683110247e-25
TSS1_21080326	4.67362280061843	7.77025413279491	260.6937934242	3.3045884803087e-28	3.57403046247101e-25
TSS3_10053604	5.55806966858339	6.78111730130865	254.08458708549	7.75857674862253e-28	8.10182688546676e-25
TSS1_28335990	-4.87586922936981	6.05315394928514	256.62538166106	1.04496946812954e-27	1.05482701344556e-24
TSS2_11681988	8.32243023327327	6.61849445760728	249.671305425075	1.38454992855048e-27	1.35252662859014e-24
TSS5_5675039	4.52412585240818	9.27445174239771	249.075550027832	1.4980095744185e-27	1.41763199819111e-24
TSS1_4291014	6.59255728857976	6.9090033277177	248.040999003293	1.71814042682461e-27	1.57668019834939e-24
TSS3_21558908	4.81206486430164	7.89171731257989	246.630928002999	2.07258503418686e-27	1.84600272324355e-24
TSS2_7760832	8.27219174773282	6.45393289360396	245.226950583931	2.50009437556715e-27	2.16315308500857e-24
TSS4_8713498	4.57219950971947	8.2778443151487	245.01511689887	2.57202159649562e-27	2.16357027796325e-24
TSS1_11972590	7.12039374590921	5.83561162832744	243.43325269283	3.18060364794035e-27	2.60319514244804e-24
TSS3_18649517	5.67056088260914	7.35886765234943	240.70757709223	4.5970279710127e-27	3.61446726332057e-24
TSS4_17956233	7.28628786963871	6.15888443789156	240.615402369923	4.65489625431768e-27	3.61446726332057e-24
TSS2_14031073	-4.18455561955285	8.88409283801245	240.151878136367	4.95739700635182e-27	3.7531213385838e-24
TSS5_25843473	4.69971575308205	6.5373521582335	238.82827559928	5.93673552941043e-27	4.38493078139356e-24
TSS4_421995	4.21428220358188	8.11885600025119	238.346699553962	6.34034414025449e-27	4.57153908569826e-24
TSS4_10957279	8.81996769942097	5.5135793378154	237.065209197551	7.55669398285726e-27	5.32184567169456e-24
TSS4_1122429	5.06454230614526	7.67422481444475	235.194290537284	9.77576014222088e-27	6.72816691788352e-24
TSS2_12655607	7.09421485788567	5.65977774605612	234.919964433583	1.01531455967733e-26	6.83261573571305e-24
TSS4_13333495	5.62371520666811	7.71491380135068	232.879245091157	1.34714554840543e-26	8.86861057442643e-24
TSS5_24102975	4.64664825300611	8.19186703164314	232.592295308125	1.40199470352442e-26	9.03332034187873e-24
TSS5_20795596	4.59349016542009	8.76470226906933	231.037370573063	1.741548107492e-26	1.09873544456625e-23
TSS5_15514375	7.68287079823166	5.46568912845574	228.450711398946	2.50406409158124e-26	1.53418597153878e-23
TSS1_27265669	4.38836699606142	9.46715799070921	228.368989162712	2.53308121972522e-26	1.53418597153878e-23
TSS2_17716950	-4.67628021177025	5.53189887750614	231.475913954516	2.90221223219895e-26	1.72328809858198e-23
TSS5_16378881	4.02273017875742	9.44272273574303	225.958103415524	3.56326496021118e-26	2.0751221690399e-23
TSS1_26533461	12.3517143806307	5.07240424867906	227.550078404825	3.76238861350171e-26	2.14974366759759e-23
TSS4_14859800	7.19947832790691	5.36708073590447	225.418460592632	3.8474817648432e-26	2.1576535237916e-23
TSS5_17849528	-3.99515893360159	10.9012432842278	224.714129081639	4.25366077339103e-26	2.3420656218291e-23
TSS5_206432	-4.12180069349121	6.53205153537446	224.54591657934	4.35699371237375e-26	2.35612215342526e-23
TSS1_19464355	6.5934878053427	6.14861075481501	222.489477859339	5.84898316767828e-26	3.10745188187371e-23
TSS5_25291536	5.53210680258224	7.71550650002856	221.44157633537	6.80108287265198e-26	3.55098607987103e-23
TSS5_5205869	4.47615207598447	7.01117921426164	217.918578789708	1.13349605423635e-25	5.81790864583718e-23
TSS4_12800936	3.96368555427569	7.40498698138672	214.670071789815	1.82498174596675e-25	9.2109870355185e-23
TSS5_22379926	-3.89376138918853	8.1628264655196	216.07809673584	1.93722359405355e-25	9.61720362274158e-23
TSS5_5066221	3.76630801735282	8.02249757436809	213.761255501132	2.08700275089679e-25	1.01936619847431e-22
TSS3_7527652	-3.66574390240247	12.5274712895726	212.620491694975	2.47119622837099e-25	1.18786087910728e-22
TSS5_142703	6.32423882664496	7.20870963065234	212.131962904424	2.65716927063532e-25	1.2572977659789e-22
TSS2_12378381	4.54275473216193	7.6388223310626	210.63288381267	3.32229026703862e-25	1.54782947933432e-22
TSS1_16484282	3.8731934432303	10.3065069735952	209.737823155319	3.79837414888133e-25	1.74282067197838e-22
TSS5_2245250	4.06146687920466	8.18995756168832	209.106103299404	4.1759173594287e-25	1.88745231933701e-22
TSS3_19889288	4.34363653291767	7.26458222475356	207.771661780084	5.10475454847709e-25	2.27334238222841e-22
TSS5_7446952	-3.63763793499786	8.67887358558244	208.865866604975	5.60510133635415e-25	2.45998961983787e-22
TSS1_18363198	4.35212775728947	7.04582927384463	204.413370943968	8.49650829188395e-25	3.67571086575888e-22
TSS2_17793355	-3.63406854425961	7.82413687710225	201.731725431603	1.28162763123872e-24	5.46641261363409e-22
TSS3_105184	3.91481434707335	8.87947416640227	199.777379343252	1.73345542565325e-24	7.29086536875796e-22
TSS5_15256275	3.89290147815434	8.5949429576395	199.667830971446	1.76315536736427e-24	7.31419643697152e-22
TSS1_28600495	5.34356372382959	5.99851744542786	197.696176541206	2.39641602855439e-24	9.80684683685304e-22
TSS5_1080993	-3.8824131274745	5.82209890591944	198.804167267358	2.57918741795071e-24	1.04140710103735e-21
TSS2_16780256	-3.52140287631538	11.7071039658233	195.211068894838	3.53883488350125e-24	1.41008601022458e-21
TSS3_5861506	4.10146676148737	6.56842540965613	193.756944478819	4.45261312305085e-24	1.751149132537e-21
TSS1_2475405	-3.56000234543821	9.45828575268484	192.960455803893	5.05212568751134e-24	1.9614554127552e-21
TSS1_5686338	4.61083524532813	7.99087514812985	191.357314274922	6.52179518094012e-24	2.49999396790392e-21
TSS1_677355	4.96993852775287	5.94951867373931	190.468613877802	7.51823618130572e-24	2.81817646104509e-21
TSS3_3499803	6.41889286984875	6.07840969643368	190.452257316336	7.5379682774049e-24	2.81817646104509e-21
TSS2_11095502	5.19836242719893	5.70276760694073	189.883502058609	8.25807468024982e-24	3.03899477748527e-21
TSS3_2676721	6.95292415344864	6.07422787414258	189.830018160564	8.32931237100938e-24	3.03899477748527e-21
TSS5_122522	-3.5366591247127	10.3610736792722	187.089619192971	1.29632634887738e-23	4.6734108122683e-21
TSS5_26455830	4.00492644149566	6.54877651874002	186.418182039207	1.44569179127675e-23	5.15057464885103e-21
TSS1_8693095	4.23162971699721	7.06328523094139	186.101574952956	1.52211924454195e-23	5.35980663749581e-21
TSS5_2090391	-3.52452300070095	10.3266377814817	184.662994296427	1.92501123889822e-23	6.7005879709833e-21
TSS1_793016	6.0544690326856	5.0344134585469	184.238118199292	2.063750020162e-23	7.10187975688249e-21
