#ID	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
STRINGTIE_RNA_00032323	15	0.404	5.27459716797	-1	0.011387	noncoding
HOMER_RNA_00032822	58	0.36267	10.1323852539	1	0.0394412	noncoding
HOMER_RNA_00032823	33	0.3453	9.58856201172	1	0.0115305	noncoding
HOMER_RNA_00027411	18	0.37121	8.25335693359	1	0.00402902	noncoding
STRINGTIE_RNA_00019301	9	0.39157	3.99884033203	1	0.00550574	noncoding
STRINGTIE_RNA_00022754	70	0.37084	11.2070922852	1	0.0685441	noncoding
HOMER_RNA_00035736	55	0.40957	9.80670166016	1	0.0520272	noncoding
STRINGTIE_RNA_00026156	29	0.32968	11.524597168	1	0.0153672	noncoding
HOMER_RNA_00041542	63	0.44244	4.51092529297	1	0.185829	noncoding
HOMER_RNA_00027422	13	0.38656	8.34539794922	1	0.00337061	noncoding
HOMER_RNA_00040117	30	0.35819	10.4326782227	1	0.0135473	noncoding
HOMER_RNA_00035750	102	0.35199	8.85345458984	1	0.179844	noncoding
HOMER_RNA_00035762	62	0.31962	7.79302978516	1	0.025214	noncoding
HOMER_RNA_00030140	45	0.34549	6.24053955078	1	0.0137726	noncoding
HOMER_RNA_00032864	156	0.41081	6.05377197266	1	0.964965	coding
HOMER_RNA_00030145	53	0.32635	9.99468994141	1	0.0257975	noncoding
HOMER_RNA_00030147	35	0.35193	4.58428955078	1	0.0148226	noncoding
HOMER_RNA_00008785	37	0.48377	4.97357177734	1	0.0218155	noncoding
STRINGTIE_RNA_00017682	65	0.34798	9.30072021484	1	0.0405065	noncoding
HOMER_RNA_00035807	43	0.40066	8.49798583984	1	0.0190772	noncoding
STRINGTIE_RNA_00034926	53	0.32116	9.89971923828	1	0.0248463	noncoding
HOMER_RNA_00027494	45	0.37447	9.30145263672	1	0.020651	noncoding
HOMER_RNA_00035829	22	0.34302	10.4463500977	1	0.00990616	noncoding
STRINGTIE_RNA_00022826	47	0.42269	5.00250244141	1	0.0471152	noncoding
HOMER_RNA_00035840	70	0.39086	9.32794189453	1	0.0774524	noncoding
HOMER_RNA_00040160	70	0.41903	9.32794189453	1	0.10998	noncoding
HOMER_RNA_00040161	21	0.32324	12.0084838867	1	0.0126353	noncoding
STRINGTIE_RNA_00027991	17	0.38545	11.0969848633	1	0.0100265	noncoding
HOMER_RNA_00027516	60	0.45536	9.84442138672	1	0.128886	noncoding
HOMER_RNA_00038832	32	0.33301	9.09893798828	1	0.00927599	noncoding
HOMER_RNA_00027519	104	0.35712	6.88519287109	1	0.252197	noncoding
HOMER_RNA_00021907	79	0.40606	7.88726806641	1	0.125715	noncoding
HOMER_RNA_00042771	25	0.35741	11.4214477539	1	0.013121	noncoding
HOMER_RNA_00023536	10	0.33227	9.50006103516	1	0.00448788	noncoding
STRINGTIE_RNA_00026209	51	0.3484	4.10479736328	1	0.0495468	noncoding
HOMER_RNA_00027543	26	0.29645	8.34478759766	1	0.00648399	noncoding
HOMER_RNA_00035878	42	0.31501	4.31610107422	1	0.0254165	noncoding
STRINGTIE_RNA_00000369	73	0.38715	9.38653564453	1	0.085611	noncoding
STRINGTIE_RNA_00029872	22	0.36849	8.34405517578	1	0.00502043	noncoding
STRINGTIE_RNA_00036348	111	0.41107	8.20343017578	1	0.488726	noncoding
HOMER_RNA_00035907	42	0.31254	11.2758178711	1	0.0224561	noncoding
HOMER_RNA_00027565	23	0.39601	10.0001831055	1	0.0105028	noncoding
HOMER_RNA_00025416	85	0.32874	8.82037353516	1	0.072201	noncoding
HOMER_RNA_00027566	59	0.33839	10.450012207	1	0.0362447	noncoding
HOMER_RNA_00017689	37	0.43356	4.56658935547	1	0.0343562	noncoding
HOMER_RNA_00026442	89	0.33259	5.17071533203	1	0.188957	noncoding
HOMER_RNA_00030312	23	0.38103	7.95416259766	1	0.00504598	noncoding
STRINGTIE_RNA_00000571	76	0.37331	8.95831298828	1	0.0794633	noncoding
HOMER_RNA_00021966	43	0.36594	8.38238525391	1	0.0142428	noncoding
HOMER_RNA_00040233	56	0.42072	10.6901245117	1	0.071684	noncoding
STRINGTIE_RNA_00026255	42	0.36605	9.39605712891	1	0.0174611	noncoding
HOMER_RNA_00027647	27	0.42699	9.78521728516	-1	0.0681074	noncoding
HOMER_RNA_00030341	84	0.35424	7.68243408203	1	0.0891245	noncoding
HOMER_RNA_00030347	68	0.35932	5.00250244141	-1	0.0289239	noncoding
HOMER_RNA_00033093	11	0.3824	8.34503173828	1	0.00298847	noncoding
HOMER_RNA_00030367	15	0.43418	9.99237060547	-1	0.0660448	noncoding
HOMER_RNA_00027668	48	0.33913	6.68841552734	1	0.014596	noncoding
HOMER_RNA_00023654	65	0.37259	10.6806030273	1	0.0595088	noncoding
HOMER_RNA_00040257	17	0.38571	12.3042602539	1	0.00892749	noncoding
STRINGTIE_RNA_00029966	124	0.3508	11.2514038086	1	0.275271	noncoding
HOMER_RNA_00030381	48	0.40027	6.51568603516	1	0.0233897	noncoding
HOMER_RNA_00027676	32	0.37322	9.69122314453	1	0.0126505	noncoding
STRINGTIE_RNA_00016163	42	0.43482	4.86785888672	-1	0.0197049	noncoding
HOMER_RNA_00030393	29	0.3298	11.2637329102	1	0.0150862	noncoding
HOMER_RNA_00000957	14	0.41036	7.99822998047	-1	0.026029	noncoding
HOMER_RNA_00036039	11	0.36585	10.3013305664	1	0.00616244	noncoding
HOMER_RNA_00027702	52	0.39169	5.99847412109	1	0.0312304	noncoding
HOMER_RNA_00036057	107	0.41407	9.12615966797	1	0.445842	noncoding
HOMER_RNA_00027709	46	0.37748	7.94122314453	1	0.0167263	noncoding
HOMER_RNA_00042869	104	0.33498	8.47564697266	1	0.159664	noncoding
HOMER_RNA_00009788	47	0.45296	11.3036499023	1	0.0835027	noncoding
HOMER_RNA_00030432	13	0.43637	5.27496337891	1	0.00471659	noncoding
